140	-26.5739268
140.5	-27.62996092
141	-29.11443452
141.5	-31.19066459
142	-34.21738597
142.5	-39.2228824
143	-52.9389114
143.5	-43.95523596
144	-36.69598645
144.5	-32.99458822
145	-30.60855976
145.5	-28.94024975
146	-27.74136963
146.5	-26.88557053
147	-26.30085958
147.5	-25.94364424
148	-25.78713421
148.5	-25.81571128
149	-26.02220111
149.5	-26.40683763
150	-26.97751557
150.5	-27.75143282
151	-28.75880248
151.5	-30.05042552
152	-31.71374726
152.5	-33.9108611
153	-36.98699706
153.5	-41.90278281
154	-54.34284431
154.5	-47.73489954
155	-40.04257764
155.5	-36.166382
156	-33.62513848
156.5	-31.78395468
157	-30.38183511
157.5	-29.28543273
158	-28.41717334
158.5	-27.72781018
159	-27.18404764
159.5	-26.76228009
160	-26.44514358
160.5	-26.21948826
161	-26.0751228
161.5	-26.0040032
162	-25.99969068
162.5	-26.05697876
163	-26.17163109
163.5	-26.34019367
164	-26.55985899
164.5	-26.82836703
165	-27.14393352
165.5	-27.50519884
166	-27.91119326
166.5	-28.36131549
167	-28.85532286
167.5	-29.3933321
168	-29.97583047
168.5	-30.60369754
169	-31.2782389
169.5	-32.00123328
170	-32.77499627
170.5	-33.60246438
171	-34.48730542
171.5	-35.43406353
172	-36.44835068
172.5	-37.53710244
173	-38.70892396
173.5	-39.97456608
174	-41.34759374
174.5	-42.84534723
175	-44.49036385
175.5	-46.31255205
176	-48.35265218
176.5	-50.66802093
177	-53.34290545
177.5	-56.50817003
178	-60.38331604
178.5	-65.38011993
179	-72.42336105
179.5	-84.46436467
180	-312.4368397

