290,-52,-27,-31,-41,-40,-22,-21,-9,-27,-18
-52,1896,-104,-156,-105,-751,-97,-29,-66,-486,-48
-27,-104,1704,-420,-112,-349,-93,-67,-280,-174,-76
-31,-156,-420,2234,-63,-434,-354,-59,-521,-158,-36
-41,-105,-112,-63,917,-122,-85,-68,-28,-186,-105
-40,-751,-349,-434,-122,3909,-596,-115,-449,-986,-65
-22,-97,-93,-354,-85,-596,1487,-42,-21,-112,-63
-21,-29,-67,-59,-68,-115,-42,658,-170,-36,-49
-9,-66,-280,-521,-28,-449,-21,-170,1691,-117,-28
-27,-486,-174,-158,-186,-986,-112,-36,-117,2449,-165
-18,-48,-76,-36,-105,-65,-63,-49,-28,-165,655
