TEAM,OPP,OUTCOME
LSU,OTHER,W
LSU,Vanderbilt,W
LSU,Utah State,W
LSU,Florida,W
LSU,MS State,W
LSU,Auburn,W
LSU,Alabama,W
LSU,Miss,W
LSU,Arkansas,W
LSU,Texas AM,W
Alabama,Duke,W
Alabama,NM State,W
Alabama,South Carolina,W
Alabama,Southern Miss,W
Alabama,Miss,W
Alabama,Texas AM,W
Alabama,Tennessee,W
Alabama,Arkansas,W
Alabama,LSU,L
Alabama,MS State,W
Alabama,OTHER,W
Alabama,Auburn,L
Auburn,Oregon,W
Auburn,Tulane,W
Auburn,Kent State,W
Auburn,Texas AM,W
Auburn,MS State,W
Auburn,Florida,L
Auburn,Arkansas,W
Auburn,LSU,L
Auburn,Miss,W
Auburn,Georgia,L
Auburn,OTHER,W
Auburn,Alabama,W
Texas AM,Texas St,W
Texas AM,Clemson,L
Texas AM,OTHER,W
Texas AM,Auburn,L
Texas AM,Arkansas,W
Texas AM,Alabama,L
Texas AM,Miss,W
Texas AM,MS State,W
Texas AM,UTSA,W
Texas AM,South Carolina,W
Texas AM,Georgia,L
Texas AM,LSU,L
MS State,LA Lafayette,W
MS State,Southern Miss,W
MS State,Kansas State,L
MS State,Kentucky,W
MS State,Auburn,L
MS State,Tennessee,L
MS State,LSU,L
MS State,Texas AM,L
MS State,Arkansas,W
MS State,Alabama,L
MS State,OTHER,W
MS State,Miss,W
Miss,Memphis,L
Miss,Arkansas,W
Miss,OTHER,W
Miss,Cal,L
Miss,Alabama,L
Miss,Vanderbilt,W
Miss,Missouri,L
Miss,Texas AM,L
Miss,Auburn,L
Miss,NM State,W
Miss,LSU,L
Miss,MS State,L
Arkansas,OTHER,W
Arkansas,Miss,L
Arkansas,CO State,W
Arkansas,San Jose State,L
Arkansas,Texas AM,L
Arkansas,Kentucky,L
Arkansas,Auburn,L
Arkansas,Alabama,L
Arkansas,MS State,L
Arkansas,Western Kentucky,L
Arkansas,LSU,L
Arkansas,Missouri,L
Georgia,Vanderbilt,W
Georgia,OTHER,W
Georgia,Arkansas State,W
Georgia,Notre Dame,W
Georgia,Tennessee,W
Georgia,South Carolina,L
Georgia,Kentucky,W
Georgia,Florida,W
Georgia,Missouri,W
Georgia,Auburn,W
Georgia,Texas AM,W
Georgia,Georgia Tech,W
Florida,Miami FL,W
Florida,OTHER,W
Florida,Kentucky,W
Florida,Tennessee,W
Florida,OTHER,W
Florida,Auburn,W
Florida,LSU,L
Florida,South Carolina,W
Florida,Georgia,L
Florida,Vanderbilt,W
Florida,Missouri,W
Florida,FSU,W
Tennessee,Georgia State,L
Tennessee,BYU,L
Tennessee,OTHER,W
Tennessee,Florida,L
Tennessee,Georgia,L
Tennessee,MS State,W
Tennessee,Alabama,L
Tennessee,South Carolina,W
Tennessee,UAB,W
Tennessee,Kentucky,W
Tennessee,Missouri,W
Tennessee,Vanderbilt,W
South Carolina,North Carolina,L
South Carolina,OTHER,W
South Carolina,Alabama,L
South Carolina,Missouri,L
South Carolina,Kentucky,W
South Carolina,Georgia,W
South Carolina,Florida,L
South Carolina,Tennessee,L
South Carolina,Vanderbilt,W
South Carolina,App State,L
South Carolina,Texas AM,L
South Carolina,Clemson,L
Kentucky,Toledo,W
Kentucky,Eastern MI,W
Kentucky,Florida,L
Kentucky,MS State,L
Kentucky,South Carolina,L
Kentucky,Arkansas,W
Kentucky,Georgia,L
Kentucky,Missouri,W
Kentucky,Tennessee,L
Kentucky,Vanderbilt,W
Kentucky,OTHER,W
Kentucky,Louisville,W
Missouri,Wyoming,L
Missouri,West Virginia,W
Missouri,OTHER,W
Missouri,South Carolina,W
Missouri,Troy,W
Missouri,Miss,W
Missouri,Vanderbilt,L
Missouri,Kentucky,L
Missouri,Georgia,L
Missouri,Florida,L
Missouri,Tennessee,L
Missouri,Arkansas,W
Vanderbilt,Georgia,L
Vanderbilt,Purdue,L
Vanderbilt,LSU,L
Vanderbilt,Northern IL,W
Vanderbilt,Miss,L
Vanderbilt,UNLV,L
Vanderbilt,Missouri,W
Vanderbilt,South Carolina,L
Vanderbilt,Florida,L
Vanderbilt,Kentucky,L
Vanderbilt,OTHER,W
Vanderbilt,Tennessee,L
App State,OTHER,W
App State,Charlotte,W
App State,North Carolina,W
App State,Coastal,W
App State,LA Lafayette,W
App State,LA Monroe,W
App State,South Alabama,W
App State,GA Southern,L
App State,South Carolina,W
App State,Georgia State,W
App State,Texas St,W
App State,Troy,W
GA Southern,LSU,L
GA Southern,OTHER,W
GA Southern,Minnesota,L
GA Southern,LA Lafayette,L
GA Southern,South Alabama,W
GA Southern,Coastal,W
GA Southern,NM State,W
GA Southern,App State,W
GA Southern,Troy,L
GA Southern,LA Monroe,W
GA Southern,Arkansas State,L
GA Southern,Georgia State,W
Georgia State,Tennessee,W
Georgia State,OTHER,W
Georgia State,Western MI,L
Georgia State,Texas St,L
Georgia State,Arkansas State,W
Georgia State,Coastal,W
Georgia State,Army,W
Georgia State,Troy,W
Georgia State,LA Monroe,L
Georgia State,App State,L
Georgia State,South Alabama,W
Georgia State,GA Southern,L
Troy,OTHER,W
Troy,Southern Miss,L
Troy,Akron,W
Troy,Arkansas State,L
Troy,Missouri,L
Troy,South Alabama,W
Troy,Georgia State,L
Troy,Coastal,L
Troy,GA Southern,W
Troy,Texas St,W
Troy,LA Lafayette,L
Troy,App State,L
LA Lafayette,MS State,L
LA Lafayette,Liberty,W
LA Lafayette,OTHER,W
LA Lafayette,Ohio,W
LA Lafayette,GA Southern,W
LA Lafayette,App State,L
LA Lafayette,Arkansas State,W
LA Lafayette,Texas St,W
LA Lafayette,Coastal,W
LA Lafayette,South Alabama,W
LA Lafayette,Troy,W
LA Lafayette,LA Monroe,W
Arkansas State,SMU,L
Arkansas State,UNLV,W
Arkansas State,Georgia,L
Arkansas State,OTHER,W
Arkansas State,Troy,W
Arkansas State,Georgia State,L
Arkansas State,LA Lafayette,L
Arkansas State,Texas St,W
Arkansas State,LA Monroe,W
Arkansas State,Coastal,W
Arkansas State,GA Southern,W
Arkansas State,South Alabama,L
LA Monroe,OTHER,W
LA Monroe,FSU,L
LA Monroe,Iowa State,L
LA Monroe,South Alabama,W
LA Monroe,Memphis,L
LA Monroe,Texas St,W
LA Monroe,App State,L
LA Monroe,Arkansas State,L
LA Monroe,Georgia State,W
LA Monroe,GA Southern,L
LA Monroe,Coastal,W
LA Monroe,LA Lafayette,L
Texas St,Texas AM,L
Texas St,Wyoming,L
Texas St,SMU,L
Texas St,Georgia State,W
Texas St,OTHER,W
Texas St,LA Monroe,L
Texas St,Arkansas State,L
Texas St,LA Lafayette,L
Texas St,South Alabama,W
Texas St,Troy,L
Texas St,App State,L
Texas St,Coastal,L
South Alabama,Nebraska,L
South Alabama,OTHER,W
South Alabama,Memphis,L
South Alabama,UAB,L
South Alabama,LA Monroe,L
South Alabama,GA Southern,L
South Alabama,Troy,L
South Alabama,App State,L
South Alabama,Texas St,L
South Alabama,LA Lafayette,L
South Alabama,Georgia State,L
South Alabama,Arkansas State,W
Coastal,Eastern MI,L
Coastal,Kansas,W
Coastal,OTHER,W
Coastal,UMass,W
Coastal,App State,L
Coastal,Georgia State,L
Coastal,GA Southern,L
Coastal,Troy,W
Coastal,LA Lafayette,L
Coastal,Arkansas State,L
Coastal,LA Monroe,L
Coastal,Texas St,W
